,cost,meters,rooms,dist,floor
1115,677800.0,71.35,4.0,Nowe Miasto,0.0
1116,583200.0,64.8,3.0,Stare Miasto,0.0
1117,499700.0,52.6,2.0,Stare Miasto,0.0
1118,498400.0,57.96,3.0,Nowe Miasto,0.0
1119,368700.0,43.9,2.0,Jeżyce,2.0
1120,487900.0,59.5,3.0,Jeżyce,2.0
1121,449700.0,44.73,2.0,Wilda,3.0
1122,546470.0,32.91,1.0,Stare Miasto,1.0
1123,448043.0,46.19,2.0,Wilda,2.0
1124,341066.0,20.54,1.0,Stare Miasto,4.0
1125,345224.0,21.59,1.0,Stare Miasto,1.0
1126,540000.0,60.0,3.0,Stare Miasto,3.0
1127,599000.0,83.0,4.0,Grunwald,1.0
1128,388032.0,40.42,2.0,Nowe Miasto,8.0
1129,454000.0,45.4,2.0,Grunwald,0.0
1130,463000.0,47.63,2.0,Grunwald,0.0
1131,339900.0,41.41,2.0,Stare Miasto,0.0
1132,328768.0,37.36,2.0,wielkopolskie,5.0
1133,424900.0,51.2,2.0,Jeżyce,0.0
1134,424900.0,51.2,2.0,Jeżyce,0.0
1135,350500.0,40.29,2.0,Nowe Miasto,0.0
1136,677800.0,71.35,4.0,Nowe Miasto,0.0
1137,566375.0,45.31,2.0,Wilda,3.0
1138,699000.0,91.0,4.0,wielkopolskie,0.0
1139,541170.0,60.13,3.0,Stare Miasto,1.0
1140,543812.0,59.11,3.0,Stare Miasto,1.0
1141,569448.0,64.71,3.0,Jeżyce,2.0
1142,676660.0,58.84,3.0,Wilda,0.0
1143,482035.0,56.71,3.0,Grunwald,0.0
1144,382580.0,40.7,2.0,Nowe Miasto,1.0
1145,510255.0,60.03,3.0,Grunwald,1.0
1146,639975.0,55.65,2.0,Wilda,0.0
1147,408000.0,37.36,2.0,Jeżyce,3.0
1148,347600.0,29.83,1.0,Wilda,1.0
1149,498400.0,57.96,3.0,Nowe Miasto,0.0
1150,368700.0,43.9,2.0,Jeżyce,2.0
1151,289831.0,26.59,1.0,Nowe Miasto,5.0
1152,603875.0,48.31,2.0,Wilda,0.0
1153,464000.0,55.89,3.0,Grunwald,2.0
